city,count,latitude,longitude
Baghdad,3040,33.303566,44.371773
Mogadishu,678,2.059819,45.326115
Mosul,660,36.354145,43.143570000000004
Karachi,596,24.891115,67.143311
Benghazi,518,32.069286,20.151144
Arish,316,31.126646,33.800865
Kabul,309,34.516895,69.14701099999999
Aleppo,263,36.201721,37.14352
Quetta,251,30.200819,66.994354
Tripoli,237,34.439478,35.833427
Fallujah,202,33.349159,43.784199
Dhaka,201,23.791275,90.418205
Peshawar,195,34.029149,71.472235
Ramadi,189,33.420947999999996,43.295662
Sanaa,185,15.325443,44.211895
Taizz,182,13.586484,44.024105
Kirkuk,178,35.45211,44.375465000000005
Madain,174,33.100528999999995,44.584492
Tikrit,156,34.621521,43.668377
Sheikh Zuweid,154,31.212225,34.117065000000004
Donetsk,151,47.981646999999995,37.762325
Damascus,149,33.515244,36.292084
Aden,145,12.825647,44.846416
Abu Ghraib,141,33.31065,44.038208000000004
Tarmiyah,139,33.669689,44.381316999999996
Mahmudiyah,136,33.057990999999994,44.354839
Yusufiyah,131,33.07835,44.254719
Bujumbura,128,-3.375828,29.364107
Baqubah,124,33.74324,44.623825
Rafah,123,31.250196000000003,34.241279999999996
Imphal,120,24.798346,93.94043
Maiduguri,119,11.840929,13.141459
Jerusalem,117,31.784838,35.224613
Jalalabad,116,34.417122,70.44959300000001
Dawr district,113,34.439761,43.868988
Taji,113,33.540672,44.251265999999994
Nahrawan,103,33.375759,44.702866
Belfast,100,54.607712,-5.95621
Sirte,95,31.197585999999998,16.586681
Saba al-Bor,91,33.460819,44.157433000000005
Tuz Khormato,90,34.881347999999996,44.62513
Kandahar,89,31.631083,65.742226
Baiji,87,34.92485,43.491413
Cairo,86,30.084629,31.334314000000003
Muqdadiyah,85,33.953167,44.921906
Samarra,84,34.208416,43.890713
Albu Bali,83,33.457122999999996,43.471428
Husseiniyah,83,33.548306,44.415733
Athens,82,37.99749,23.762728
Derna,80,32.760422,22.635265
Ghazni,79,33.542621999999994,68.415329
Istanbul,77,41.106178,28.689863
Latifiyah,74,32.982933,44.361595
Kunduz,69,36.705776,68.87706
Shaykh Uthman,65,12.867085000000001,44.981911
Bangkok,63,13.785793,100.560852
Khost,62,33.335258,69.928467
Lashkar Gah,62,31.60063,64.369652
Kismayo,62,-0.35784699999999997,42.54665
Herat,60,34.346722,62.197315
Srinagar,58,34.08374,74.789902
Saqlawiyah,55,33.397812,43.706276
Mushahidah,55,33.649971,44.261542999999996
Londonderry,55,55.011562,-7.3120449999999995
Jalawla,54,34.271034,45.163567
Giza,52,30.022924,31.185191999999997
Radhwaniyah,52,33.185299,44.26778
Shyrokyne,51,47.098835,37.81987
Khalidiyah,51,33.388054,43.5317
Karma,50,33.403057000000004,43.911865
Jamrud,50,34.002579,71.38247700000001
Bangui,50,4.37474,18.551292
Arsal,47,34.184605,36.424011
Tuz Khormato district,46,34.848177,44.656766
Hebron,45,31.530243,35.094162
Shirqat,45,35.499439,43.234894
Diyarbakir,45,37.922218,40.184376
Nusaybin,45,37.080181,41.220196
Homs,45,34.717705,36.722823999999996
Kiev,45,50.4501,30.5234
Zaidan,44,33.24637,44.02548
Afgoye,44,2.14383,45.118061
Hawr Rajab,44,33.19392,44.408577
Turbat,44,25.999413,63.047451
Kilis,44,36.71928,37.11557
Baidoa,43,3.115641,43.64658
Pir Koh,43,29.143866,69.099785
Abu Ghraib district,42,33.291944,44.065556
Tarin Kot,42,32.61797,65.872375
Mukalla,42,14.543970000000002,49.12458
Avdiivka,42,48.143208,37.753361
Hamamiyat,42,33.509671000000004,44.201679999999996
Sangin district,41,32.061234000000006,64.968912
Lahore,41,31.505470000000003,74.34288000000001
Qayyarah,40,35.79813,43.294178
Hawijah district,40,35.32626,43.7672
Alexandria,39,31.193703999999997,29.917103000000004
Shchastya,39,48.736645,39.226653999999996
Amiriyat al-Fallujah,39,33.162096000000005,43.872258
Al-Baghdadi,39,33.864799,42.536384999999996
Puli Khumri,38,35.947552,68.710327
Shabqadar,38,34.217285,71.56104300000001
Pisky,38,48.064426,37.673248
Yala,38,6.5454989999999995,101.2799
Mandera,37,3.927631,41.867523
Basra,37,30.510053999999997,47.778095
